id,name,type,category,power,accuracy,pp,priority,min_hits,max_hits,ailment,ailment_chance,crit_rate,drain,healing,flinch_chance,stat_chance,target,stat_changes
56,Hydro Pump,Water,Special,110,80,5,0,1,1,,0,0,0,0,0,0,foe,
57,Surf,Water,Special,90,100,15,0,1,1,,0,0,0,0,0,0,foe,
58,Ice Beam,Ice,Special,90,100,10,0,1,1,FREEZE,10,0,0,0,0,0,foe,
59,Blizzard,Ice,Special,110,70,5,0,1,1,FREEZE,10,0,0,0,0,0,foe,
60,Psybeam,Psychic,Special,65,100,20,0,1,1,CONFUSE,10,0,0,0,0,0,foe,
61,Bubble Beam,Water,Special,65,100,20,0,1,1,,0,0,0,0,0,10,foe,spe:-1
62,Aurora Beam,Ice,Special,65,100,20,0,1,1,,0,0,0,0,0,10,foe,atk:-1
63,Hyper Beam,Normal,Special,150,90,5,0,1,1,,0,0,0,0,0,0,foe,
64,Peck,Flying,Physical,35,100,35,0,1,1,,0,0,0,0,0,0,foe,
65,Drill Peck,Flying,Physical,80,100,20,0,1,1,,0,0,0,0,0,0,foe,
66,Submission,Fighting,Physical,80,80,20,0,1,1,,0,0,-25,0,0,0,foe,
67,Low Kick,Fighting,Physical,0,100,20,0,1,1,,0,0,0,0,0,0,foe,
68,Counter,Fighting,Physical,0,100,20,-5,1,1,,0,0,0,0,0,0,foe,
69,Seismic Toss,Fighting,Physical,0,100,20,0,1,1,,0,0,0,0,0,0,foe,
70,Strength,Normal,Physical,80,100,15,0,1,1,,0,0,0,0,0,0,foe,
71,Absorb,Grass,Special,20,100,25,0,1,1,,0,0,50,0,0,0,foe,
72,Mega Drain,Grass,Special,40,100,15,0,1,1,,0,0,50,0,0,0,foe,
73,Leech Seed,Grass,Status,0,90,10,0,1,1,,0,0,0,0,0,0,foe,
74,Growth,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,atk:1|spa:1
75,Razor Leaf,Grass,Physical,55,95,25,0,1,1,,0,1,0,0,0,0,foe,
76,Solar Beam,Grass,Special,120,100,10,0,1,1,,0,0,0,0,0,0,foe,
77,Poison Powder,Poison,Status,0,75,35,0,1,1,POISON,0,0,0,0,0,0,foe,
78,Stun Spore,Grass,Status,0,75,30,0,1,1,PARALYZE,0,0,0,0,0,0,foe,
79,Sleep Powder,Grass,Status,0,75,15,0,1,1,SLEEP,0,0,0,0,0,0,foe,
80,Petal Dance,Grass,Special,120,100,10,0,1,1,,0,0,0,0,0,0,foe,
81,String Shot,Bug,Status,0,95,40,0,1,1,,0,0,0,0,0,0,foe,spe:-2
82,Dragon Rage,Dragon,Special,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
83,Fire Spin,Fire,Special,35,85,15,0,1,1,,100,0,0,0,0,0,foe,
84,Thunder Shock,Electric,Special,40,100,30,0,1,1,PARALYZE,10,0,0,0,0,0,foe,
85,Thunderbolt,Electric,Special,90,100,15,0,1,1,PARALYZE,10,0,0,0,0,0,foe,
86,Thunder Wave,Electric,Status,0,90,20,0,1,1,PARALYZE,0,0,0,0,0,0,foe,
87,Thunder,Electric,Special,110,70,10,0,1,1,PARALYZE,30,0,0,0,0,0,foe,
88,Rock Throw,Rock,Physical,50,90,15,0,1,1,,0,0,0,0,0,0,foe,
89,Earthquake,Ground,Physical,100,100,10,0,1,1,,0,0,0,0,0,0,foe,
90,Fissure,Ground,Physical,0,30,5,0,1,1,,0,0,0,0,0,0,foe,
91,Dig,Ground,Physical,80,100,10,0,1,1,,0,0,0,0,0,0,foe,
92,Toxic,Poison,Status,0,90,10,0,1,1,POISON,0,0,0,0,0,0,foe,
93,Confusion,Psychic,Special,50,100,25,0,1,1,CONFUSE,10,0,0,0,0,0,foe,
94,Psychic,Psychic,Special,90,100,10,0,1,1,,0,0,0,0,0,10,foe,spd:-1
95,Hypnosis,Psychic,Status,0,60,20,0,1,1,SLEEP,0,0,0,0,0,0,foe,
96,Meditate,Psychic,Status,0,0,40,0,1,1,,0,0,0,0,0,0,self,atk:1
97,Agility,Psychic,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,spe:2
98,Quick Attack,Normal,Physical,40,100,30,1,1,1,,0,0,0,0,0,0,foe,
99,Rage,Normal,Physical,20,100,20,0,1,1,,0,0,0,0,0,0,foe,
100,Teleport,Psychic,Status,0,0,20,-6,1,1,,0,0,0,0,0,0,self,
101,Night Shade,Ghost,Special,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
102,Mimic,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
103,Screech,Normal,Status,0,85,40,0,1,1,,0,0,0,0,0,0,foe,def:-2
104,Double Team,Normal,Status,0,0,15,0,1,1,,0,0,0,0,0,0,self,eva:1
105,Recover,Normal,Status,0,0,5,0,1,1,,0,0,0,50,0,0,self,
106,Harden,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,def:1
107,Minimize,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,eva:2
108,Smokescreen,Normal,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,acc:-1
109,Confuse Ray,Ghost,Status,0,100,10,0,1,1,CONFUSE,0,0,0,0,0,0,foe,
110,Withdraw,Water,Status,0,0,40,0,1,1,,0,0,0,0,0,0,self,def:1
111,Defense Curl,Normal,Status,0,0,40,0,1,1,,0,0,0,0,0,0,self,def:1
112,Barrier,Psychic,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,def:2
113,Light Screen,Psychic,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,
114,Haze,Ice,Status,0,0,30,0,1,1,,0,0,0,0,0,0,foe,
115,Reflect,Psychic,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,
116,Focus Energy,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,
117,Bide,Normal,Physical,0,0,10,1,1,1,,0,0,0,0,0,0,self,
118,Metronome,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
119,Mirror Move,Flying,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
120,Self Destruct,Normal,Physical,200,100,5,0,1,1,,0,0,0,0,0,0,foe,
121,Egg Bomb,Normal,Physical,100,75,10,0,1,1,,0,0,0,0,0,0,foe,
122,Lick,Ghost,Physical,30,100,30,0,1,1,PARALYZE,30,0,0,0,0,0,foe,
123,Smog,Poison,Special,30,70,20,0,1,1,POISON,40,0,0,0,0,0,foe,
124,Sludge,Poison,Special,65,100,20,0,1,1,POISON,30,0,0,0,0,0,foe,
125,Bone Club,Ground,Physical,65,85,20,0,1,1,,0,0,0,0,10,0,foe,
126,Fire Blast,Fire,Special,110,85,5,0,1,1,BURN,10,0,0,0,0,0,foe,
127,Waterfall,Water,Physical,80,100,15,0,1,1,,0,0,0,0,20,0,foe,
128,Clamp,Water,Physical,35,85,15,0,1,1,,100,0,0,0,0,0,foe,
129,Swift,Normal,Special,60,0,20,0,1,1,,0,0,0,0,0,0,foe,
130,Skull Bash,Normal,Physical,130,100,10,0,1,1,,100,0,0,0,0,0,foe,
131,Spike Cannon,Normal,Physical,20,100,15,0,2,5,,0,0,0,0,0,0,foe,
132,Constrict,Normal,Physical,10,100,35,0,1,1,,0,0,0,0,0,10,foe,spe:-1
133,Amnesia,Psychic,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,spd:2
134,Kinesis,Psychic,Status,0,80,15,0,1,1,,0,0,0,0,0,0,foe,acc:-1
135,Soft Boiled,Normal,Status,0,0,5,0,1,1,,0,0,0,50,0,0,self,
136,High Jump Kick,Fighting,Physical,130,90,10,0,1,1,,0,0,0,0,0,0,foe,
137,Glare,Normal,Status,0,100,30,0,1,1,PARALYZE,0,0,0,0,0,0,foe,
138,Dream Eater,Psychic,Special,100,100,15,0,1,1,,0,0,50,0,0,0,foe,
139,Poison Gas,Poison,Status,0,90,40,0,1,1,POISON,0,0,0,0,0,0,foe,
140,Barrage,Normal,Physical,15,85,20,0,2,5,,0,0,0,0,0,0,foe,
141,Leech Life,Bug,Physical,80,100,10,0,1,1,,0,0,50,0,0,0,foe,
142,Lovely Kiss,Normal,Status,0,75,10,0,1,1,SLEEP,0,0,0,0,0,0,foe,
143,Sky Attack,Flying,Physical,140,90,5,0,1,1,,0,1,0,0,30,0,foe,
144,Transform,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
145,Bubble,Water,Special,40,100,30,0,1,1,,0,0,0,0,0,10,foe,spe:-1
146,Dizzy Punch,Normal,Physical,70,100,10,0,1,1,CONFUSE,20,0,0,0,0,0,foe,
147,Spore,Grass,Status,0,100,15,0,1,1,SLEEP,0,0,0,0,0,0,foe,
148,Flash,Normal,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,acc:-1
149,Psywave,Psychic,Special,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
150,Splash,Normal,Status,0,0,40,0,1,1,,0,0,0,0,0,0,self,
151,Acid Armor,Poison,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,def:2
152,Crabhammer,Water,Physical,100,90,10,0,1,1,,0,1,0,0,0,0,foe,
153,Explosion,Normal,Physical,250,100,5,0,1,1,,0,0,0,0,0,0,foe,
154,Fury Swipes,Normal,Physical,18,80,15,0,2,5,,0,0,0,0,0,0,foe,
155,Bonemerang,Ground,Physical,50,90,10,0,2,2,,0,0,0,0,0,0,foe,
156,Rest,Psychic,Status,0,0,5,0,1,1,,0,0,0,0,0,0,self,
157,Rock Slide,Rock,Physical,75,90,10,0,1,1,,0,0,0,0,30,0,foe,
158,Hyper Fang,Normal,Physical,80,90,15,0,1,1,,0,0,0,0,10,0,foe,
159,Sharpen,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,atk:1
160,Conversion,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,
161,Tri Attack,Normal,Special,80,100,10,0,1,1,,20,0,0,0,0,0,foe,
162,Super Fang,Normal,Physical,0,90,10,0,1,1,,0,0,0,0,0,0,foe,
163,Slash,Normal,Physical,70,100,20,0,1,1,,0,1,0,0,0,0,foe,
164,Substitute,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
166,Sketch,Normal,Status,0,0,1,0,1,1,,0,0,0,0,0,0,foe,
167,Triple Kick,Fighting,Physical,10,90,10,0,3,3,,0,0,0,0,0,0,foe,
168,Thief,Dark,Physical,60,100,25,0,1,1,,0,0,0,0,0,0,foe,
169,Spider Web,Bug,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
170,Mind Reader,Normal,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
171,Nightmare,Ghost,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
172,Flame Wheel,Fire,Physical,60,100,25,0,1,1,BURN,10,0,0,0,0,0,foe,
173,Snore,Normal,Special,50,100,15,0,1,1,,0,0,0,0,30,0,foe,
174,Curse,Ghost,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
175,Flail,Normal,Physical,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
176,Conversion 2,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,foe,
177,Aeroblast,Flying,Special,100,95,5,0,1,1,,0,1,0,0,0,0,foe,
178,Cotton Spore,Grass,Status,0,100,40,0,1,1,,0,0,0,0,0,0,foe,spe:-2
179,Reversal,Fighting,Physical,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
180,Spite,Ghost,Status,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
181,Powder Snow,Ice,Special,40,100,25,0,1,1,FREEZE,10,0,0,0,0,0,foe,
182,Protect,Normal,Status,0,0,10,4,1,1,,0,0,0,0,0,0,self,
183,Mach Punch,Fighting,Physical,40,100,30,1,1,1,,0,0,0,0,0,0,foe,
184,Scary Face,Normal,Status,0,100,10,0,1,1,,0,0,0,0,0,0,foe,spe:-2
185,Feint Attack,Dark,Physical,60,0,20,0,1,1,,0,0,0,0,0,0,foe,
186,Sweet Kiss,Fairy,Status,0,75,10,0,1,1,CONFUSE,0,0,0,0,0,0,foe,
187,Belly Drum,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
188,Sludge Bomb,Poison,Special,90,100,10,0,1,1,POISON,30,0,0,0,0,0,foe,
189,Mud Slap,Ground,Special,20,100,10,0,1,1,,0,0,0,0,0,100,foe,acc:-1
190,Octazooka,Water,Special,65,85,10,0,1,1,,0,0,0,0,0,50,foe,acc:-1
191,Spikes,Ground,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
192,Zap Cannon,Electric,Special,120,50,5,0,1,1,PARALYZE,100,0,0,0,0,0,foe,
193,Foresight,Normal,Status,0,0,40,0,1,1,,0,0,0,0,0,0,foe,
194,Destiny Bond,Ghost,Status,0,0,5,0,1,1,,0,0,0,0,0,0,self,
195,Perish Song,Normal,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
196,Icy Wind,Ice,Special,55,95,15,0,1,1,,0,0,0,0,0,100,foe,spe:-1
197,Detect,Fighting,Status,0,0,5,4,1,1,,0,0,0,0,0,0,self,
198,Bone Rush,Ground,Physical,25,90,10,0,2,5,,0,0,0,0,0,0,foe,
199,Lock On,Normal,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
200,Outrage,Dragon,Physical,120,100,10,0,1,1,,0,0,0,0,0,0,foe,
201,Sandstorm,Rock,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
202,Giga Drain,Grass,Special,75,100,10,0,1,1,,0,0,50,0,0,0,foe,
203,Endure,Normal,Status,0,0,10,4,1,1,,0,0,0,0,0,0,self,
204,Charm,Fairy,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,atk:-2
205,Rollout,Rock,Physical,30,90,20,0,1,1,,0,0,0,0,0,0,foe,
206,False Swipe,Normal,Physical,40,100,40,0,1,1,,0,0,0,0,0,0,foe,
207,Swagger,Normal,Status,0,85,15,0,1,1,CONFUSE,0,0,0,0,0,0,foe,atk:2
208,Milk Drink,Normal,Status,0,0,5,0,1,1,,0,0,0,50,0,0,self,
209,Spark,Electric,Physical,65,100,20,0,1,1,PARALYZE,30,0,0,0,0,0,foe,
210,Fury Cutter,Bug,Physical,40,95,20,0,1,1,,0,0,0,0,0,0,foe,
211,Steel Wing,Steel,Physical,70,90,25,0,1,1,,0,0,0,0,0,10,foe,def:1
212,Mean Look,Normal,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
213,Attract,Normal,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
214,Sleep Talk,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
215,Heal Bell,Normal,Status,0,0,5,0,1,1,,0,0,0,0,0,0,self,
216,Return,Normal,Physical,0,100,20,0,1,1,,0,0,0,0,0,0,foe,
217,Present,Normal,Physical,0,90,15,0,1,1,,0,0,0,0,0,0,foe,
218,Frustration,Normal,Physical,0,100,20,0,1,1,,0,0,0,0,0,0,foe,
219,Safeguard,Normal,Status,0,0,25,0,1,1,,0,0,0,0,0,0,self,
220,Pain Split,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
221,Sacred Fire,Fire,Physical,100,95,5,0,1,1,BURN,50,0,0,0,0,0,foe,
222,Magnitude,Ground,Physical,0,100,30,0,1,1,,0,0,0,0,0,0,foe,
223,Dynamic Punch,Fighting,Physical,100,50,5,0,1,1,CONFUSE,100,0,0,0,0,0,foe,
224,Megahorn,Bug,Physical,120,85,10,0,1,1,,0,0,0,0,0,0,foe,
225,Dragon Breath,Dragon,Special,60,100,20,0,1,1,PARALYZE,30,0,0,0,0,0,foe,
226,Baton Pass,Normal,Status,0,0,40,0,1,1,,0,0,0,0,0,0,self,
227,Encore,Normal,Status,0,100,5,0,1,1,,0,0,0,0,0,0,foe,
228,Pursuit,Dark,Physical,40,100,20,0,1,1,,0,0,0,0,0,0,foe,
229,Rapid Spin,Normal,Physical,50,100,40,0,1,1,,0,0,0,0,0,100,foe,spe:1
230,Sweet Scent,Normal,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,eva:-2
231,Iron Tail,Steel,Physical,100,75,15,0,1,1,,0,0,0,0,0,30,foe,def:-1
232,Metal Claw,Steel,Physical,50,95,35,0,1,1,,0,0,0,0,0,10,foe,atk:1
233,Vital Throw,Fighting,Physical,70,0,10,-1,1,1,,0,0,0,0,0,0,foe,
234,Morning Sun,Normal,Status,0,0,5,0,1,1,,0,0,0,50,0,0,self,
235,Synthesis,Grass,Status,0,0,5,0,1,1,,0,0,0,50,0,0,self,
236,Moonlight,Fairy,Status,0,0,5,0,1,1,,0,0,0,50,0,0,self,
237,Hidden Power,Normal,Special,60,100,15,0,1,1,,0,0,0,0,0,0,foe,
238,Cross Chop,Fighting,Physical,100,80,5,0,1,1,,0,1,0,0,0,0,foe,
239,Twister,Dragon,Special,40,100,20,0,1,1,,0,0,0,0,20,0,foe,
240,Rain Dance,Water,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
241,Sunny Day,Fire,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
242,Crunch,Dark,Physical,80,100,15,0,1,1,,0,0,0,0,0,20,foe,def:-1
243,Mirror Coat,Psychic,Special,0,100,20,-5,1,1,,0,0,0,0,0,0,foe,
244,Psych Up,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
245,Extreme Speed,Normal,Physical,80,100,5,2,1,1,,0,0,0,0,0,0,foe,
246,Ancient Power,Rock,Special,60,100,5,0,1,1,,0,0,0,0,0,10,foe,atk:1|def:1|spa:1|spd:1|spe:1
247,Shadow Ball,Ghost,Special,80,100,15,0,1,1,,0,0,0,0,0,20,foe,spd:-1
248,Future Sight,Psychic,Special,120,100,10,0,1,1,,0,0,0,0,0,0,foe,
249,Rock Smash,Fighting,Physical,40,100,15,0,1,1,,0,0,0,0,0,50,foe,def:-1
250,Whirlpool,Water,Special,35,85,15,0,1,1,,100,0,0,0,0,0,foe,
251,Beat Up,Dark,Physical,0,100,10,0,6,6,,0,0,0,0,0,0,foe,
252,Fake Out,Normal,Physical,40,100,10,3,1,1,,0,0,0,0,100,0,foe,
253,Uproar,Normal,Special,90,100,10,0,1,1,,0,0,0,0,0,0,foe,
254,Stockpile,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,def:1|spd:1
255,Spit Up,Normal,Special,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
256,Swallow,Normal,Status,0,0,10,0,1,1,,0,0,0,25,0,0,self,
257,Heat Wave,Fire,Special,95,90,10,0,1,1,BURN,10,0,0,0,0,0,foe,
258,Hail,Ice,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
259,Torment,Dark,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,
260,Flatter,Dark,Status,0,100,15,0,1,1,CONFUSE,0,0,0,0,0,0,foe,spa:1
261,Will O Wisp,Fire,Status,0,85,15,0,1,1,BURN,0,0,0,0,0,0,foe,
262,Memento,Dark,Status,0,100,10,0,1,1,,0,0,0,0,0,0,foe,atk:-2|spa:-2
263,Facade,Normal,Physical,70,100,20,0,1,1,,0,0,0,0,0,0,foe,
264,Focus Punch,Fighting,Physical,150,100,20,-3,1,1,,0,0,0,0,0,0,foe,
265,Smelling Salts,Normal,Physical,70,100,10,0,1,1,,0,0,0,0,0,0,foe,
266,Follow Me,Normal,Status,0,0,20,2,1,1,,0,0,0,0,0,0,self,
267,Nature Power,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,foe,
268,Charge,Electric,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,spd:1
269,Taunt,Dark,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,
270,Helping Hand,Normal,Status,0,0,20,5,1,1,,0,0,0,0,0,0,foe,
271,Trick,Psychic,Status,0,100,10,0,1,1,,0,0,0,0,0,0,foe,
272,Role Play,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
273,Wish,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
274,Assist,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,
275,Ingrain,Grass,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,
276,Superpower,Fighting,Physical,120,100,5,0,1,1,,0,0,0,0,0,100,foe,atk:-1|def:-1
277,Magic Coat,Psychic,Status,0,0,15,4,1,1,,0,0,0,0,0,0,self,
278,Recycle,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
279,Revenge,Fighting,Physical,60,100,10,-4,1,1,,0,0,0,0,0,0,foe,
280,Brick Break,Fighting,Physical,75,100,15,0,1,1,,0,0,0,0,0,0,foe,
281,Yawn,Normal,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
282,Knock Off,Dark,Physical,65,100,20,0,1,1,,0,0,0,0,0,0,foe,
283,Endeavor,Normal,Physical,0,100,5,0,1,1,,0,0,0,0,0,0,foe,
284,Eruption,Fire,Special,150,100,5,0,1,1,,0,0,0,0,0,0,foe,
285,Skill Swap,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
286,Imprison,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
287,Refresh,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,
288,Grudge,Ghost,Status,0,0,5,0,1,1,,0,0,0,0,0,0,self,
289,Snatch,Dark,Status,0,0,10,4,1,1,,0,0,0,0,0,0,self,
290,Secret Power,Normal,Physical,70,100,20,0,1,1,,30,0,0,0,0,0,foe,
291,Dive,Water,Physical,80,100,10,0,1,1,,0,0,0,0,0,0,foe,
292,Arm Thrust,Fighting,Physical,15,100,20,0,2,5,,0,0,0,0,0,0,foe,
293,Camouflage,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,
294,Tail Glow,Bug,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,spa:3
295,Luster Purge,Psychic,Special,95,100,5,0,1,1,,0,0,0,0,0,50,foe,spd:-1
296,Mist Ball,Psychic,Special,95,100,5,0,1,1,,0,0,0,0,0,50,foe,spa:-1
297,Feather Dance,Flying,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,atk:-2
298,Teeter Dance,Normal,Status,0,100,20,0,1,1,CONFUSE,0,0,0,0,0,0,foe,
299,Blaze Kick,Fire,Physical,85,90,10,0,1,1,BURN,10,1,0,0,0,0,foe,
300,Mud Sport,Ground,Status,0,0,15,0,1,1,,0,0,0,0,0,0,foe,
301,Ice Ball,Ice,Physical,30,90,20,0,1,1,,0,0,0,0,0,0,foe,
