id,name,type1,type2,rarity,hp,attack,defense,sp_atk,sp_def,speed
44,Gloom,Grass,Poison,1,60,65,70,85,75,40
45,Vileplume,Grass,Poison,3,75,80,85,110,90,50
46,Paras,Bug,Grass,1,35,70,55,45,55,25
47,Parasect,Bug,Grass,2,60,95,80,60,80,30
48,Venonat,Bug,Poison,1,60,55,50,40,55,45
49,Venomoth,Bug,Poison,3,70,65,60,90,75,90
50,Diglett,Ground,,1,10,55,25,35,45,95
51,Dugtrio,Ground,,2,35,100,50,50,70,120
52,Meowth,Normal,,1,40,45,35,40,40,90
53,Persian,Normal,,2,65,70,60,65,65,115
54,Psyduck,Water,,1,50,52,48,65,50,55
55,Golduck,Water,,4,80,82,78,95,80,85
56,Mankey,Fighting,,1,40,80,35,35,45,70
57,Primeape,Fighting,,3,65,105,60,60,70,95
58,Growlithe,Fire,,1,55,70,45,70,50,60
59,Arcanine,Fire,,4,90,110,80,100,80,95
60,Poliwag,Water,,1,40,50,40,40,40,90
61,Poliwhirl,Water,,1,65,65,65,50,50,90
62,Poliwrath,Water,Fighting,4,90,95,95,70,90,70
63,Abra,Psychic,,1,25,20,15,105,55,90
64,Kadabra,Psychic,,2,40,35,30,120,70,105
65,Alakazam,Psychic,,4,55,50,45,135,95,120
66,Machop,Fighting,,1,70,80,50,35,35,35
67,Machoke,Fighting,,2,80,100,70,50,60,45
68,Machamp,Fighting,,4,90,130,80,65,85,55
69,Bellsprout,Grass,Poison,1,50,75,35,70,30,40
70,Weepinbell,Grass,Poison,1,65,90,50,85,45,55
71,Victreebel,Grass,Poison,3,80,105,65,100,70,70
72,Tentacool,Water,Poison,1,40,40,35,50,100,70
73,Tentacruel,Water,Poison,4,80,70,65,80,120,100
74,Geodude,Rock,Ground,1,40,80,100,30,30,20
75,Graveler,Rock,Ground,1,55,95,115,45,45,35
76,Golem,Rock,Ground,3,80,120,130,55,65,45
77,Ponyta,Fire,,2,50,85,55,65,65,90
78,Rapidash,Fire,,4,65,100,70,80,80,105
79,Slowpoke,Water,Psychic,1,90,65,65,40,40,15
80,Slowbro,Water,Psychic,3,95,75,110,100,80,30
81,Magnemite,Electric,Steel,1,25,35,70,95,55,45
82,Magneton,Electric,Steel,3,50,60,95,120,70,70
83,Farfetch'd,Normal,Flying,1,52,90,55,58,62,60
84,Doduo,Normal,Flying,1,35,85,45,35,35,75
85,Dodrio,Normal,Flying,3,60,110,70,60,60,110
86,Seel,Water,,1,65,45,55,45,70,45
87,Dewgong,Water,Ice,3,90,70,80,70,95,70
88,Grimer,Poison,,1,80,80,50,40,50,25
89,Muk,Poison,,4,105,105,75,65,100,50
90,Shellder,Water,,1,30,65,100,45,25,40
91,Cloyster,Water,Ice,4,50,95,180,85,45,70
92,Gastly,Ghost,Poison,1,30,35,30,100,35,80
93,Haunter,Ghost,Poison,2,45,50,45,115,55,95
94,Gengar,Ghost,Poison,4,60,65,60,130,75,110
95,Onix,Rock,Ground,1,35,45,160,30,45,70
96,Drowzee,Psychic,,1,60,48,45,43,90,42
97,Hypno,Psychic,,3,85,73,70,73,115,67
98,Krabby,Water,,1,30,105,90,25,25,50
99,Kingler,Water,,3,55,130,115,50,50,75
100,Voltorb,Electric,,1,40,30,50,55,55,100
101,Electrode,Electric,,3,60,50,70,80,80,150
102,Exeggcute,Grass,Psychic,1,60,40,80,60,45,40
103,Exeggutor,Grass,Psychic,4,95,95,85,125,75,55
104,Cubone,Ground,,1,50,50,95,40,50,35
105,Marowak,Ground,,2,60,80,110,50,80,45
106,Hitmonlee,Fighting,,3,50,120,53,35,110,87
107,Hitmonchan,Fighting,,3,50,105,79,35,110,76
108,Lickitung,Normal,,1,90,55,75,60,75,30
109,Koffing,Poison,,1,40,65,95,60,45,35
110,Weezing,Poison,,3,65,90,120,85,70,60
111,Rhyhorn,Ground,Rock,1,80,85,95,30,30,25
112,Rhydon,Ground,Rock,3,105,130,120,45,45,40
113,Chansey,Normal,,3,250,5,5,35,105,50
114,Tangela,Grass,,2,65,55,115,100,40,60
115,Kangaskhan,Normal,,3,105,95,80,40,80,90
116,Horsea,Water,,1,30,40,70,70,25,60
117,Seadra,Water,,2,55,65,95,95,45,85
118,Goldeen,Water,,1,45,67,60,35,50,63
119,Seaking,Water,,3,80,92,65,65,80,68
120,Staryu,Water,,1,30,45,55,70,55,85
121,Starmie,Water,Psychic,4,60,75,85,100,85,115
122,Mr. Mime,Psychic,Fairy,3,40,45,65,100,120,90
123,Scyther,Bug,Flying,4,70,110,80,55,80,105
124,Jynx,Ice,Psychic,3,65,50,35,115,95,95
125,Electabuzz,Electric,,3,65,83,57,95,85,105
126,Magmar,Fire,,3,65,95,57,100,85,93
127,Pinsir,Bug,,4,65,125,100,55,70,85
128,Tauros,Normal,,3,75,100,95,40,70,110
129,Magikarp,Water,,1,20,10,55,15,20,80
130,Gyarados,Water,Flying,4,95,125,79,60,100,81
131,Lapras,Water,Ice,4,130,85,80,85,95,60
132,Ditto,Normal,,1,48,48,48,48,48,48
133,Eevee,Normal,,1,55,55,50,45,65,55
134,Vaporeon,Water,,4,130,65,60,110,95,65
135,Jolteon,Electric,,4,65,65,60,110,95,130
136,Flareon,Fire,,4,65,130,60,95,110,65
137,Porygon,Normal,,1,65,60,70,85,75,40
138,Omanyte,Rock,Water,1,35,40,100,90,55,35
139,Omastar,Rock,Water,3,70,60,125,115,70,55
140,Kabuto,Rock,Water,1,30,80,90,55,45,55
141,Kabutops,Rock,Water,3,60,115,105,65,70,80
142,Aerodactyl,Rock,Flying,4,80,105,65,60,75,130
143,Snorlax,Normal,,4,160,110,65,65,110,30
144,Articuno,Ice,Flying,4,90,85,100,95,125,85
145,Zapdos,Electric,Flying,4,90,90,85,125,90,100
146,Moltres,Fire,Flying,4,90,100,90,125,85,90
147,Dratini,Dragon,,1,41,64,45,50,50,50
148,Dragonair,Dragon,,2,61,84,65,70,70,70
149,Dragonite,Dragon,Flying,5,91,134,95,100,100,80
150,Mewtwo,Psychic,,5,106,110,90,154,90,130
151,Mew,Psychic,,5,100,100,100,100,100,100
152,Chikorita,Grass,,1,45,49,65,49,65,45
153,Bayleef,Grass,,2,60,62,80,63,80,60
154,Meganium,Grass,,4,80,82,100,83,100,80
155,Cyndaquil,Fire,,1,39,52,43,60,50,65
156,Quilava,Fire,,2,58,64,58,80,65,80
157,Typhlosion,Fire,,4,78,84,78,109,85,100
158,Totodile,Water,,1,50,65,64,44,48,43
159,Croconaw,Water,,2,65,80,80,59,63,58
160,Feraligatr,Water,,4,85,105,100,79,83,78
161,Sentret,Normal,,1,35,46,34,35,45,20
162,Furret,Normal,,2,85,76,64,45,55,90
163,Hoothoot,Normal,Flying,1,60,30,30,36,56,50
164,Noctowl,Normal,Flying,3,100,50,50,86,96,70
165,Ledyba,Bug,Flying,1,40,20,30,40,80,55
166,Ledian,Bug,Flying,1,55,35,50,55,110,85
167,Spinarak,Bug,Poison,1,40,60,40,40,40,30
168,Ariados,Bug,Poison,2,70,90,70,60,70,40
169,Crobat,Poison,Flying,4,85,90,80,70,80,130
170,Chinchou,Water,Electric,1,75,38,38,56,56,67
171,Lanturn,Water,Electric,3,125,58,58,76,76,67
172,Pichu,Electric,,1,20,40,15,35,35,60
173,Cleffa,Fairy,,1,50,25,28,45,55,15
174,Igglybuff,Normal,Fairy,1,90,30,15,40,20,15
175,Togepi,Fairy,,1,35,20,65,40,65,20
176,Togetic,Fairy,Flying,2,55,40,85,80,105,40
177,Natu,Psychic,Flying,1,40,50,45,70,45,70
178,Xatu,Psychic,Flying,3,65,75,70,95,70,95
179,Mareep,Electric,,1,55,40,40,65,45,35
180,Flaaffy,Electric,,1,70,55,55,80,60,45
181,Ampharos,Electric,,4,90,75,85,115,90,55
182,Bellossom,Grass,,3,75,80,95,90,100,50
183,Marill,Water,Fairy,1,70,20,50,20,50,40
184,Azumarill,Water,Fairy,2,100,50,80,60,80,50
185,Sudowoodo,Rock,,2,70,100,115,30,65,30
186,Politoed,Water,,4,90,75,75,90,100,70
187,Hoppip,Grass,Flying,1,35,35,40,35,55,50
188,Skiploom,Grass,Flying,1,55,45,50,45,65,80
189,Jumpluff,Grass,Flying,3,75,55,70,55,95,110
190,Aipom,Normal,,1,55,70,55,40,55,85
191,Sunkern,Grass,,1,30,30,30,30,30,30
192,Sunflora,Grass,,2,75,75,55,105,85,30
193,Yanma,Bug,Flying,1,65,65,45,75,45,95
194,Wooper,Water,Ground,1,55,45,45,25,25,15
195,Quagsire,Water,Ground,2,95,85,85,65,65,35
196,Espeon,Psychic,,4,65,65,60,130,95,110
197,Umbreon,Dark,,4,95,65,110,60,130,65
198,Murkrow,Dark,Flying,2,60,85,42,85,42,91
199,Slowking,Water,Psychic,3,95,75,80,100,110,30
200,Misdreavus,Ghost,,2,60,60,60,85,85,85
202,Wobbuffet,Psychic,,2,190,33,58,33,58,33
203,Girafarig,Normal,Psychic,3,70,80,65,90,65,85
204,Pineco,Bug,,1,50,65,90,35,35,15
205,Forretress,Bug,Steel,3,75,90,140,60,60,40
206,Dunsparce,Normal,,2,100,70,70,65,65,45
207,Gligar,Ground,Flying,2,65,75,105,35,65,85
208,Steelix,Steel,Ground,4,75,85,200,55,65,30
209,Snubbull,Fairy,,1,60,80,50,40,40,30
210,Granbull,Fairy,,3,90,120,75,60,60,45
211,Qwilfish,Water,Poison,2,65,95,85,55,55,85
212,Scizor,Bug,Steel,4,70,130,100,55,80,65
213,Shuckle,Bug,Rock,4,20,10,230,10,230,5
214,Heracross,Bug,Fighting,4,80,125,75,40,95,85
215,Sneasel,Dark,Ice,2,55,95,55,35,75,115
216,Teddiursa,Normal,,1,60,80,50,50,50,40
217,Ursaring,Normal,,4,90,130,75,75,75,55
218,Slugma,Fire,,1,40,40,40,70,40,20
219,Magcargo,Fire,Rock,2,60,50,120,90,80,30
220,Swinub,Ice,Ground,1,50,50,40,30,30,50
221,Piloswine,Ice,Ground,3,100,100,80,60,60,50
222,Corsola,Water,Rock,2,65,55,95,65,95,35
223,Remoraid,Water,,1,35,65,35,65,35,65
224,Octillery,Water,,3,75,105,75,105,75,45
225,Delibird,Ice,Flying,1,45,55,45,65,45,75
226,Mantine,Water,Flying,3,85,40,70,80,140,70
227,Skarmory,Steel,Flying,3,65,80,140,40,70,70
228,Houndour,Dark,Fire,1,45,60,30,80,50,65
229,Houndoom,Dark,Fire,4,75,90,50,110,80,95
230,Kingdra,Water,Dragon,4,75,95,95,95,95,85
231,Phanpy,Ground,,1,90,60,60,40,40,40
232,Donphan,Ground,,4,90,120,120,60,60,50
233,Porygon2,Normal,,4,85,80,90,105,95,60
234,Stantler,Normal,,3,73,95,62,85,65,85
235,Smeargle,Normal,,1,55,20,35,20,45,75
236,Tyrogue,Fighting,,1,35,35,35,35,35,35
237,Hitmontop,Fighting,,3,50,95,95,35,110,70
238,Smoochum,Ice,Psychic,1,45,30,15,85,65,65
239,Elekid,Electric,,1,45,63,37,65,55,95
240,Magby,Fire,,1,45,75,37,70,55,83
241,Miltank,Normal,,3,95,80,105,40,70,100
242,Blissey,Normal,,4,255,10,10,75,135,55
243,Raikou,Electric,,4,90,85,75,115,100,115
244,Entei,Fire,,4,115,115,85,90,75,100
245,Suicune,Water,,4,100,75,115,90,115,85
246,Larvitar,Rock,Ground,1,50,64,50,45,50,41
247,Pupitar,Rock,Ground,2,70,84,70,65,70,51
248,Tyranitar,Rock,Dark,5,100,134,110,95,100,61
249,Lugia,Psychic,Flying,5,106,90,130,90,154,110
250,Ho-oh,Fire,Flying,5,106,130,90,110,154,90
251,Celebi,Psychic,Grass,5,100,100,100,100,100,100
252,Treecko,Grass,,1,40,45,35,65,55,70
253,Grovyle,Grass,,2,50,65,45,85,65,95
254,Sceptile,Grass,,4,70,85,65,105,85,120
255,Torchic,Fire,,1,45,60,40,70,50,45
256,Combusken,Fire,Fighting,2,60,85,60,85,60,55
257,Blaziken,Fire,Fighting,4,80,120,70,110,70,80
258,Mudkip,Water,,1,50,70,50,50,50,40
259,Marshtomp,Water,Ground,2,70,85,70,60,70,50
260,Swampert,Water,Ground,4,100,110,90,85,90,60
261,Poochyena,Dark,,1,35,55,35,30,30,35
262,Mightyena,Dark,,2,70,90,70,60,60,70
263,Zigzagoon,Normal,,1,38,30,41,30,41,60
264,Linoone,Normal,,2,78,70,61,50,61,100
265,Wurmple,Bug,,1,45,45,35,20,30,20
266,Silcoon,Bug,,1,50,35,55,25,25,15
267,Beautifly,Bug,Flying,1,60,70,50,100,50,65
268,Cascoon,Bug,,1,50,35,55,25,25,15
269,Dustox,Bug,Poison,1,60,50,70,50,90,65
270,Lotad,Water,Grass,1,40,30,30,40,50,30
271,Lombre,Water,Grass,1,60,50,50,60,70,50
272,Ludicolo,Water,Grass,3,80,70,70,90,100,70
273,Seedot,Grass,,1,40,40,50,30,30,30
274,Nuzleaf,Grass,Dark,1,70,70,40,60,40,60
275,Shiftry,Grass,Dark,3,90,100,60,90,60,80
276,Taillow,Normal,Flying,1,40,55,30,30,30,85
277,Swellow,Normal,Flying,3,60,85,60,75,50,125
278,Wingull,Water,Flying,1,40,30,30,55,30,85
279,Pelipper,Water,Flying,2,60,50,100,95,70,65
280,Ralts,Psychic,Fairy,1,28,25,25,45,35,40
281,Kirlia,Psychic,Fairy,1,38,35,35,65,55,50
282,Gardevoir,Psychic,Fairy,4,68,65,65,125,115,80
283,Surskit,Bug,Water,1,40,30,32,50,52,65
284,Masquerain,Bug,Flying,3,70,60,62,100,82,80
285,Shroomish,Grass,,1,60,40,60,40,60,35
286,Breloom,Grass,Fighting,3,60,130,80,60,60,70
287,Slakoth,Normal,,1,60,60,60,35,35,30
288,Vigoroth,Normal,,2,80,80,80,55,55,90
289,Slaking,Normal,,5,150,160,100,95,65,100
290,Nincada,Bug,Ground,1,31,45,90,30,30,40
291,Ninjask,Bug,Flying,3,61,90,45,50,50,160
292,Shedinja,Bug,Ghost,1,1,90,45,30,30,40
293,Whismur,Normal,,1,64,51,23,51,23,28
294,Loudred,Normal,,1,84,71,43,71,43,48
295,Exploud,Normal,,3,104,91,63,91,73,68
296,Makuhita,Fighting,,1,72,60,30,20,30,25
297,Hariyama,Fighting,,3,144,120,60,40,60,50
298,Azurill,Normal,Fairy,1,50,20,40,20,40,20
299,Nosepass,Rock,,1,30,45,135,45,90,30
300,Skitty,Normal,,1,50,45,45,35,35,50
301,Delcatty,Normal,,2,70,65,65,55,55,90
302,Sableye,Dark,Ghost,1,50,75,75,65,65,50
303,Mawile,Steel,Fairy,1,50,85,85,55,55,50
304,Aron,Steel,Rock,1,50,70,100,40,40,30
305,Lairon,Steel,Rock,2,60,90,140,50,50,40
306,Aggron,Steel,Rock,4,70,110,180,60,60,50
307,Meditite,Fighting,Psychic,1,30,40,55,40,55,60
308,Medicham,Fighting,Psychic,2,60,60,75,60,75,80
309,Electrike,Electric,,1,40,45,40,65,40,65
310,Manectric,Electric,,3,70,75,60,105,60,105
311,Plusle,Electric,,2,60,50,40,85,75,95
312,Minun,Electric,,2,60,40,50,75,85,95
313,Volbeat,Bug,,2,65,73,75,47,85,85
314,Illumise,Bug,,2,65,47,75,73,85,85
315,Roselia,Grass,Poison,2,50,60,45,100,80,65
316,Gulpin,Poison,,1,70,43,53,43,53,40
317,Swalot,Poison,,3,100,73,83,73,83,55
318,Carvanha,Water,Dark,1,45,90,20,65,20,65
319,Sharpedo,Water,Dark,3,70,120,40,95,40,95
320,Wailmer,Water,,2,130,70,35,70,35,60
321,Wailord,Water,,4,170,90,45,90,45,60
322,Numel,Fire,Ground,1,60,60,40,65,45,35
323,Camerupt,Fire,Ground,3,70,100,70,105,75,40
324,Torkoal,Fire,,3,70,85,140,85,70,20
325,Spoink,Psychic,,1,60,25,35,70,80,60
326,Grumpig,Psychic,,3,80,45,65,90,110,80
327,Spinda,Normal,,1,60,60,60,60,60,60
328,Trapinch,Ground,,1,45,100,45,45,45,10
329,Vibrava,Ground,Dragon,1,50,70,50,50,50,70
330,Flygon,Ground,Dragon,4,80,100,80,80,80,100
331,Cacnea,Grass,,1,50,85,40,85,40,35
332,Cacturne,Grass,Dark,3,70,115,60,115,60,55
333,Swablu,Normal,Flying,1,45,40,60,40,75,50
334,Altaria,Dragon,Flying,3,75,70,90,70,105,80
335,Zangoose,Normal,,3,73,115,60,60,60,90
336,Seviper,Poison,,3,73,100,60,100,60,65
337,Lunatone,Rock,Psychic,3,90,55,65,95,85,70
338,Solrock,Rock,Psychic,3,90,95,85,55,65,70
339,Barboach,Water,Ground,1,50,48,43,46,41,60
340,Whiscash,Water,Ground,3,110,78,73,76,71,60
341,Corphish,Water,,1,43,80,65,50,35,35
342,Crawdaunt,Water,Dark,3,63,120,85,90,55,55
343,Baltoy,Ground,Psychic,1,40,40,55,40,70,55
344,Claydol,Ground,Psychic,4,60,70,105,70,120,75
345,Lileep,Rock,Grass,1,66,41,77,61,87,23
346,Cradily,Rock,Grass,3,86,81,97,81,107,43
347,Anorith,Rock,Bug,1,45,95,50,40,50,75
348,Armaldo,Rock,Bug,3,75,125,100,70,80,45
349,Feebas,Water,,1,20,15,20,10,55,80
350,Milotic,Water,,4,95,60,79,100,125,81
351,Castform,Normal,,2,70,70,70,70,70,70
352,Kecleon,Normal,,2,60,90,70,60,120,40
353,Shuppet,Ghost,,1,44,75,35,63,33,45
354,Banette,Ghost,,3,64,115,65,83,63,65
355,Duskull,Ghost,,1,20,40,90,30,90,25
356,Dusclops,Ghost,,3,40,70,130,60,130,25
357,Tropius,Grass,Flying,3,99,68,83,72,87,51
358,Chimecho,Psychic,,3,75,50,80,95,90,65
359,Absol,Dark,,3,65,130,60,75,60,75
360,Wynaut,Psychic,,1,95,23,48,23,48,23
361,Snorunt,Ice,,1,50,50,50,50,50,50
362,Glalie,Ice,,3,80,80,80,80,80,80
363,Spheal,Ice,Water,1,70,40,50,55,50,25
364,Sealeo,Ice,Water,2,90,60,70,75,70,45
365,Walrein,Ice,Water,4,110,80,90,95,90,65
366,Clamperl,Water,,1,35,64,85,74,55,32
367,Huntail,Water,,3,55,104,105,94,75,52
368,Gorebyss,Water,,3,55,84,105,114,75,52
369,Relicanth,Water,Rock,3,100,90,130,45,65,55
370,Luvdisc,Water,,1,43,30,55,40,65,97
371,Bagon,Dragon,,1,45,75,60,40,30,50
372,Shelgon,Dragon,,2,65,95,100,60,50,50
373,Salamence,Dragon,Flying,5,95,135,80,110,80,100
374,Beldum,Steel,Psychic,1,40,55,80,35,60,30
375,Metang,Steel,Psychic,2,60,75,100,55,80,50
376,Metagross,Steel,Psychic,5,80,135,130,95,90,70
377,Regirock,Rock,,4,80,100,200,50,100,50
378,Regice,Ice,,4,80,50,100,100,200,50
379,Registeel,Steel,,4,80,75,150,75,150,50
380,Latias,Dragon,Psychic,5,80,80,90,110,130,110
381,Latios,Dragon,Psychic,5,80,90,80,130,110,110
382,Kyogre,Water,,5,100,100,90,150,140,90
383,Groudon,Ground,,5,100,150,140,100,90,90
384,Rayquaza,Dragon,Flying,5,105,150,90,150,90,95
385,Jirachi,Steel,Psychic,5,100,100,100,100,100,100
387,Turtwig,Grass,,1,55,68,64,45,55,31
388,Grotle,Grass,,2,75,89,85,55,65,36
389,Torterra,Grass,Ground,4,95,109,105,75,85,56
390,Chimchar,Fire,,1,44,58,44,58,44,61
391,Monferno,Fire,Fighting,2,64,78,52,78,52,81
392,Infernape,Fire,Fighting,4,76,104,71,104,71,108
393,Piplup,Water,,1,53,51,53,61,56,40
394,Prinplup,Water,,2,64,66,68,81,76,50
395,Empoleon,Water,Steel,4,84,86,88,111,101,60
396,Starly,Normal,Flying,1,40,55,30,30,30,60
397,Staravia,Normal,Flying,1,55,75,50,40,40,80
398,Staraptor,Normal,Flying,3,85,120,70,50,60,100
399,Bidoof,Normal,,1,59,45,40,35,40,31
400,Bibarel,Normal,Water,2,79,85,60,55,60,71
401,Kricketot,Bug,,1,37,25,41,25,41,25
402,Kricketune,Bug,,1,77,85,51,55,51,65
403,Shinx,Electric,,1,45,65,34,40,34,45
404,Luxio,Electric,,1,60,85,49,60,49,60
405,Luxray,Electric,,4,80,120,79,95,79,70
406,Budew,Grass,Poison,1,40,30,35,50,70,55
407,Roserade,Grass,Poison,4,60,70,65,125,105,90
408,Cranidos,Rock,,1,67,125,40,30,30,58
409,Rampardos,Rock,,3,97,165,60,65,50,58
410,Shieldon,Rock,Steel,1,30,42,118,42,88,30
411,Bastiodon,Rock,Steel,3,60,52,168,47,138,30
414,Mothim,Bug,Flying,2,70,94,50,94,50,66
415,Combee,Bug,Flying,1,30,30,42,30,42,70
416,Vespiquen,Bug,Flying,3,70,80,102,80,102,40
417,Pachirisu,Electric,,2,60,45,70,45,90,95
418,Buizel,Water,,1,55,65,35,60,30,85
419,Floatzel,Water,,3,85,105,55,85,50,115
420,Cherubi,Grass,,1,45,35,45,62,53,35
424,Ambipom,Normal,,3,75,100,66,60,66,115
425,Drifloon,Ghost,Flying,1,90,50,34,60,44,70
426,Drifblim,Ghost,Flying,3,150,80,44,90,54,80
427,Buneary,Normal,,1,55,66,44,44,56,85
428,Lopunny,Normal,,3,65,76,84,54,96,105
429,Mismagius,Ghost,,3,60,60,60,105,105,105
430,Honchkrow,Dark,Flying,4,100,125,52,105,52,71
431,Glameow,Normal,,1,49,55,42,42,37,85
432,Purugly,Normal,,3,71,82,64,64,59,112
433,Chingling,Psychic,,1,45,30,50,65,50,45
434,Stunky,Poison,Dark,1,63,63,47,41,41,74
435,Skuntank,Poison,Dark,3,103,93,67,71,61,84
436,Bronzor,Steel,Psychic,1,57,24,86,24,86,23
437,Bronzong,Steel,Psychic,4,67,89,116,79,116,33
438,Bonsly,Rock,,1,50,80,95,10,45,10
439,Mime Jr.,Psychic,Fairy,1,20,25,45,70,90,60
440,Happiny,Normal,,1,100,5,5,15,65,30
441,Chatot,Normal,Flying,2,76,65,45,92,42,91
442,Spiritomb,Ghost,Dark,3,50,92,108,92,108,35
443,Gible,Dragon,Ground,1,58,70,45,40,45,42
444,Gabite,Dragon,Ground,2,68,90,65,50,55,82
445,Garchomp,Dragon,Ground,5,108,130,95,80,85,102
446,Munchlax,Normal,,1,135,85,40,40,85,5
447,Riolu,Fighting,,1,40,70,40,35,40,60
448,Lucario,Fighting,Steel,4,70,110,70,115,70,90
449,Hippopotas,Ground,,1,68,72,78,38,42,32
450,Hippowdon,Ground,,4,108,112,118,68,72,47
451,Skorupi,Poison,Bug,1,40,50,90,30,55,65
452,Drapion,Poison,Dark,4,70,90,110,60,75,95
453,Croagunk,Poison,Fighting,1,48,61,40,61,40,50
454,Toxicroak,Poison,Fighting,3,83,106,65,86,65,85
455,Carnivine,Grass,,3,74,100,72,90,72,46
456,Finneon,Water,,1,49,49,56,49,61,66
457,Lumineon,Water,,3,69,69,76,69,86,91
458,Mantyke,Water,Flying,1,45,20,50,60,120,50
459,Snover,Grass,Ice,1,60,62,50,62,60,40
460,Abomasnow,Grass,Ice,3,90,92,75,92,85,60
461,Weavile,Dark,Ice,4,70,120,65,45,85,125
462,Magnezone,Electric,Steel,4,70,70,115,130,90,60
463,Lickilicky,Normal,,4,110,85,95,80,95,50
464,Rhyperior,Ground,Rock,4,115,140,130,55,55,40
465,Tangrowth,Grass,,4,100,100,125,110,50,50
466,Electivire,Electric,,4,75,123,67,95,85,95
467,Magmortar,Fire,,4,75,95,67,125,95,83
468,Togekiss,Fairy,Flying,4,85,50,95,120,115,80
469,Yanmega,Bug,Flying,4,86,76,86,116,56,95
470,Leafeon,Grass,,4,65,110,130,60,65,95
471,Glaceon,Ice,,4,65,60,110,130,95,65
472,Gliscor,Ground,Flying,4,75,95,125,45,75,95
473,Mamoswine,Ice,Ground,4,110,130,80,70,60,80
474,Porygon-Z,Normal,,4,85,80,70,135,75,90
475,Gallade,Psychic,Fighting,4,68,125,65,65,115,80
476,Probopass,Rock,Steel,4,60,55,145,75,150,40
477,Dusknoir,Ghost,,4,45,100,135,65,135,45
478,Froslass,Ice,Ghost,3,70,80,70,80,70,110
480,Uxie,Psychic,,4,75,75,130,75,130,95
481,Mesprit,Psychic,,4,80,105,105,105,105,80
482,Azelf,Psychic,,4,75,125,70,125,70,115
483,Dialga,Steel,Dragon,5,100,120,120,150,100,90
484,Palkia,Water,Dragon,5,90,120,100,150,120,100
485,Heatran,Fire,Steel,5,91,90,106,130,106,77
486,Regigigas,Normal,,5,110,160,110,80,110,100
488,Cresselia,Psychic,,4,120,70,110,75,120,85
489,Phione,Water,,3,80,80,80,80,80,80
490,Manaphy,Water,,5,100,100,100,100,100,100
491,Darkrai,Dark,,5,70,90,90,135,90,125
493,Arceus,Normal,,5,120,120,120,120,120,120
494,Victini,Psychic,Fire,5,100,100,100,100,100,100
495,Snivy,Grass,,1,45,45,55,45,55,63
496,Servine,Grass,,2,60,60,75,60,75,83
497,Serperior,Grass,,4,75,75,95,75,95,113
498,Tepig,Fire,,1,65,63,45,45,45,45
499,Pignite,Fire,Fighting,2,90,93,55,70,55,55
500,Emboar,Fire,Fighting,4,110,123,65,100,65,65
501,Oshawott,Water,,1,55,55,45,63,45,45
502,Dewott,Water,,2,75,75,60,83,60,60
503,Samurott,Water,,4,95,100,85,108,70,70
504,Patrat,Normal,,1,45,55,39,35,39,42
505,Watchog,Normal,,2,60,85,69,60,69,77
506,Lillipup,Normal,,1,45,60,45,25,45,55
507,Herdier,Normal,,1,65,80,65,35,65,60
